 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	5.392000E-7	1.202000E-6	4.485857E-1
2.250000E+0	4.355000E-7	9.830000E-7	4.430315E-1
4.500000E+0	5.024000E-7	1.146000E-6	4.383944E-1
6.750000E+0	5.058000E-7	1.096000E-6	4.614964E-1
9.000000E+0	3.030000E-7	6.560000E-7	4.618902E-1
1.125000E+1	4.081000E-7	8.880000E-7	4.595721E-1
1.350000E+1	5.152000E-7	1.167000E-6	4.414739E-1
1.575000E+1	4.441000E-7	9.370000E-7	4.739594E-1
1.800000E+1	4.753000E-7	1.068000E-6	4.450375E-1
2.025000E+1	4.768000E-7	1.080000E-6	4.414815E-1
2.250000E+1	5.346000E-7	1.225000E-6	4.364082E-1
2.475000E+1	4.678000E-7	1.064000E-6	4.396617E-1
2.700000E+1	4.856000E-7	1.092000E-6	4.446886E-1
2.925000E+1	4.460000E-7	9.760000E-7	4.569672E-1
3.150000E+1	6.309000E-7	1.398000E-6	4.512876E-1
3.375000E+1	5.536000E-7	1.279000E-6	4.328382E-1
3.600000E+1	4.129000E-7	9.180000E-7	4.497821E-1
3.825000E+1	5.340000E-7	1.220000E-6	4.377049E-1
4.050000E+1	6.114000E-7	1.353000E-6	4.518847E-1
4.275000E+1	5.287000E-7	1.256000E-6	4.209395E-1
4.500000E+1	5.100000E-7	1.215000E-6	4.197531E-1
4.725000E+1	5.754000E-7	1.311000E-6	4.389016E-1
4.950000E+1	3.485000E-7	7.290000E-7	4.780521E-1
5.175000E+1	3.427000E-7	8.420000E-7	4.070071E-1
5.400000E+1	3.965000E-7	9.130000E-7	4.342826E-1
5.625000E+1	6.974000E-7	1.760000E-6	3.962500E-1
5.850000E+1	3.699000E-7	8.340000E-7	4.435252E-1
6.075000E+1	3.916000E-7	9.390000E-7	4.170394E-1
6.300000E+1	4.415000E-7	1.066000E-6	4.141651E-1
6.525000E+1	3.305000E-7	7.410000E-7	4.460189E-1
6.750000E+1	3.130000E-7	7.330000E-7	4.270123E-1
6.975000E+1	5.318000E-7	1.388000E-6	3.831412E-1
7.200000E+1	4.953000E-7	1.282000E-6	3.863495E-1
7.425000E+1	4.408000E-7	1.114000E-6	3.956912E-1
7.650000E+1	4.845000E-7	1.245000E-6	3.891566E-1
7.875000E+1	4.711000E-7	1.304000E-6	3.612730E-1
8.100000E+1	4.365000E-7	1.163000E-6	3.753224E-1
8.325000E+1	4.999000E-7	1.394000E-6	3.586083E-1
8.550000E+1	4.364000E-7	1.195000E-6	3.651883E-1
8.775000E+1	4.521000E-7	1.310000E-6	3.451145E-1
9.000000E+1	4.342000E-7	1.283000E-6	3.384256E-1
9.225000E+1	4.608000E-7	1.453000E-6	3.171370E-1
9.450000E+1	5.169000E-7	1.784000E-6	2.897422E-1
9.675000E+1	3.322000E-7	9.820000E-7	3.382892E-1
9.900000E+1	3.900000E-7	1.333000E-6	2.925731E-1
1.012500E+2	3.065000E-7	1.033000E-6	2.967086E-1
1.035000E+2	3.597000E-7	1.334000E-6	2.696402E-1
1.057500E+2	3.008000E-7	1.123000E-6	2.678540E-1
1.080000E+2	2.831000E-7	1.148000E-6	2.466028E-1
1.102500E+2	2.130000E-7	8.430000E-7	2.526690E-1
1.125000E+2	2.750000E-7	1.325000E-6	2.075472E-1
1.147500E+2	2.087000E-7	1.029000E-6	2.028183E-1
1.170000E+2	2.136000E-7	1.200000E-6	1.780000E-1
1.192500E+2	1.604000E-7	1.013000E-6	1.583416E-1
1.215000E+2	1.049000E-7	6.200000E-7	1.691935E-1
1.237500E+2	1.363000E-7	1.256000E-6	1.085191E-1
1.260000E+2	1.129000E-7	1.327000E-6	8.507913E-2
1.282500E+2	6.900000E-8	9.660000E-7	7.142857E-2
1.305000E+2	5.960000E-8	1.070000E-6	5.570093E-2
1.327500E+2	5.520000E-8	1.242000E-6	4.444444E-2
