  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	6.633000E-8	5.470000E-7	1.212614E-1	1.727906E-1
2.250000E+0	8.892000E-8	7.600000E-7	1.170000E-1	1.674070E-1
4.500000E+0	5.960000E-8	4.810000E-7	1.239085E-1	1.765306E-1
6.750000E+0	8.252000E-8	6.760000E-7	1.220710E-1	1.723478E-1
9.000000E+0	9.153000E-8	7.690000E-7	1.190247E-1	1.726776E-1
1.125000E+1	7.749000E-8	6.580000E-7	1.177660E-1	1.695618E-1
1.350000E+1	9.893000E-8	8.630000E-7	1.146350E-1	1.646361E-1
1.575000E+1	9.330000E-8	8.200000E-7	1.137805E-1	1.641589E-1
1.800000E+1	1.063900E-7	9.450000E-7	1.125820E-1	1.643179E-1
2.025000E+1	9.484000E-8	8.450000E-7	1.122367E-1	1.649176E-1
2.250000E+1	9.494000E-8	8.430000E-7	1.126216E-1	1.654737E-1
2.475000E+1	1.109300E-7	1.062000E-6	1.044539E-1	1.546315E-1
2.700000E+1	8.905000E-8	7.890000E-7	1.128644E-1	1.686464E-1
2.925000E+1	8.522000E-8	7.310000E-7	1.165800E-1	1.744553E-1
3.150000E+1	1.094000E-7	1.052000E-6	1.039924E-1	1.578942E-1
3.375000E+1	9.728000E-8	9.160000E-7	1.062009E-1	1.616396E-1
3.600000E+1	8.027000E-8	7.190000E-7	1.116412E-1	1.689199E-1
3.825000E+1	6.465000E-8	5.530000E-7	1.169078E-1	1.817011E-1
4.050000E+1	1.031700E-7	1.035000E-6	9.968116E-2	1.511388E-1
4.275000E+1	8.227000E-8	7.420000E-7	1.108760E-1	1.708400E-1
4.500000E+1	1.010800E-7	9.660000E-7	1.046377E-1	1.631807E-1
4.725000E+1	8.754000E-8	8.190000E-7	1.068864E-1	1.667752E-1
4.950000E+1	7.374000E-8	6.680000E-7	1.103892E-1	1.768041E-1
5.175000E+1	8.403000E-8	8.030000E-7	1.046451E-1	1.683027E-1
5.400000E+1	8.064000E-8	7.880000E-7	1.023350E-1	1.661439E-1
5.625000E+1	7.891000E-8	7.920000E-7	9.963384E-2	1.627496E-1
5.850000E+1	8.522000E-8	8.740000E-7	9.750572E-2	1.608425E-1
6.075000E+1	6.483000E-8	6.170000E-7	1.050729E-1	1.821264E-1
6.300000E+1	8.062000E-8	8.610000E-7	9.363531E-2	1.613478E-1
6.525000E+1	8.222000E-8	8.920000E-7	9.217489E-2	1.592949E-1
6.750000E+1	8.194000E-8	9.500000E-7	8.625263E-2	1.536329E-1
6.975000E+1	7.537000E-8	8.510000E-7	8.856639E-2	1.620622E-1
7.200000E+1	7.176000E-8	8.170000E-7	8.783354E-2	1.621957E-1
7.425000E+1	7.190000E-8	8.780000E-7	8.189066E-2	1.554966E-1
7.650000E+1	5.617000E-8	6.280000E-7	8.944268E-2	1.749095E-1
7.875000E+1	5.805000E-8	6.920000E-7	8.388728E-2	1.655544E-1
8.100000E+1	6.126000E-8	8.280000E-7	7.398551E-2	1.554929E-1
8.325000E+1	5.822000E-8	7.860000E-7	7.407125E-2	1.584230E-1
8.550000E+1	4.605000E-8	6.210000E-7	7.415459E-2	1.594450E-1
8.775000E+1	3.746000E-8	4.360000E-7	8.591743E-2	1.963731E-1
