  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	1.608000E-7	1.198000E-6	1.342237E-1	2.540280E-1
2.250000E+0	1.591000E-7	1.181000E-6	1.347163E-1	2.350532E-1
4.500000E+0	1.403000E-7	9.840000E-7	1.425813E-1	2.683663E-1
6.750000E+0	1.212000E-7	9.220000E-7	1.314534E-1	2.466397E-1
9.000000E+0	2.091000E-7	1.579000E-6	1.324256E-1	2.561639E-1
1.125000E+1	1.128000E-7	7.810000E-7	1.444302E-1	2.626987E-1
1.350000E+1	1.907000E-7	1.436000E-6	1.327994E-1	2.509514E-1
1.575000E+1	1.492000E-7	1.048000E-6	1.423664E-1	2.656235E-1
1.800000E+1	1.442000E-7	1.039000E-6	1.387873E-1	2.667395E-1
2.025000E+1	1.442000E-7	1.080000E-6	1.335185E-1	2.468813E-1
2.250000E+1	1.318000E-7	9.710000E-7	1.357364E-1	2.686006E-1
2.475000E+1	1.651000E-7	1.284000E-6	1.285826E-1	2.538540E-1
2.700000E+1	1.329000E-7	9.550000E-7	1.391623E-1	2.654322E-1
2.925000E+1	1.187000E-7	9.120000E-7	1.301535E-1	2.492348E-1
3.150000E+1	1.617000E-7	1.181000E-6	1.369179E-1	2.793657E-1
3.375000E+1	1.910000E-7	1.558000E-6	1.225931E-1	2.362124E-1
3.600000E+1	1.120000E-7	8.320000E-7	1.346154E-1	2.687121E-1
3.825000E+1	1.489000E-7	1.184000E-6	1.257601E-1	2.543755E-1
4.050000E+1	1.100000E-7	8.410000E-7	1.307967E-1	2.638898E-1
4.275000E+1	1.009000E-7	7.540000E-7	1.338196E-1	2.652754E-1
4.500000E+1	1.334000E-7	1.065000E-6	1.252582E-1	2.606043E-1
4.725000E+1	1.222000E-7	9.970000E-7	1.225677E-1	2.466691E-1
4.950000E+1	1.488000E-7	1.230000E-6	1.209756E-1	2.503708E-1
5.175000E+1	1.232000E-7	1.008000E-6	1.222222E-1	2.425409E-1
5.400000E+1	1.349000E-7	1.138000E-6	1.185413E-1	2.370017E-1
5.625000E+1	1.116000E-7	9.390000E-7	1.188498E-1	2.633183E-1
5.850000E+1	1.096000E-7	9.730000E-7	1.126413E-1	2.498728E-1
6.075000E+1	8.800000E-8	6.720000E-7	1.309524E-1	2.888537E-1
6.300000E+1	1.078000E-7	8.640000E-7	1.247685E-1	2.543287E-1
6.525000E+1	1.196000E-7	1.109000E-6	1.078449E-1	2.209759E-1
6.750000E+1	1.033000E-7	8.670000E-7	1.191465E-1	2.614242E-1
6.975000E+1	1.118000E-7	1.002000E-6	1.115768E-1	2.513756E-1
7.200000E+1	1.281000E-7	1.241000E-6	1.032232E-1	2.167254E-1
7.425000E+1	1.055000E-7	9.870000E-7	1.068896E-1	2.416167E-1
7.650000E+1	1.090000E-7	1.073000E-6	1.015843E-1	2.170994E-1
7.875000E+1	1.071000E-7	1.119000E-6	9.571046E-2	2.196543E-1
8.100000E+1	5.730000E-8	5.270000E-7	1.087287E-1	2.568092E-1
8.325000E+1	9.670000E-8	1.060000E-6	9.122642E-2	2.127243E-1
8.550000E+1	1.090000E-7	1.221000E-6	8.927109E-2	2.179370E-1
8.775000E+1	9.640000E-8	1.101000E-6	8.755677E-2	2.205430E-1
9.000000E+1	6.860000E-8	7.340000E-7	9.346049E-2	2.654061E-1
9.225000E+1	7.290000E-8	8.240000E-7	8.847087E-2	2.332581E-1
9.450000E+1	8.020000E-8	1.148000E-6	6.986063E-2	1.799093E-1
9.675000E+1	4.320000E-8	4.790000E-7	9.018789E-2	2.467153E-1
9.900000E+1	7.358000E-8	1.124000E-6	6.546263E-2	1.687612E-1
1.012500E+2	5.597000E-8	8.360000E-7	6.694976E-2	1.984785E-1
1.035000E+2	5.279000E-8	8.730000E-7	6.046964E-2	1.823234E-1
1.057500E+2	4.562000E-8	7.320000E-7	6.232240E-2	1.983309E-1
1.080000E+2	5.059000E-8	1.090000E-6	4.641284E-2	1.550639E-1
1.102500E+2	3.628000E-8	6.600000E-7	5.496970E-2	2.191100E-1
1.125000E+2	3.629000E-8	1.007000E-6	3.603774E-2	1.529237E-1
1.147500E+2	3.059000E-8	1.086000E-6	2.816759E-2	1.335124E-1
1.170000E+2	2.397000E-8	1.119000E-6	2.142091E-2	1.136231E-1
1.192500E+2	1.981000E-8	1.326000E-6	1.493967E-2	9.094716E-2
1.215000E+2	1.509000E-8	1.388000E-6	1.087176E-2	6.439909E-2
1.237500E+2	1.177000E-8	1.537000E-6	7.657775E-3	6.350909E-2
1.260000E+2	6.520000E-9	1.028000E-6	6.342412E-3	6.767128E-2
1.282500E+2	4.380000E-9	8.550000E-7	5.122807E-3	6.925984E-2
1.305000E+2	4.480000E-9	1.246000E-6	3.595506E-3	6.236989E-2
1.327500E+2	5.110000E-9	1.498000E-6	3.411215E-3	7.183491E-2
1.350000E+2	4.790000E-9	1.067000E-6	4.489222E-3	1.041605E-1
1.372500E+2	1.108000E-8	1.357000E-6	8.165070E-3	1.455329E-1
1.395000E+2	1.851000E-8	1.022000E-6	1.811155E-2	2.670908E-1
1.417500E+2	3.321000E-8	1.308000E-6	2.538991E-2	2.726399E-1
1.440000E+2	3.885000E-8	9.300000E-7	4.177419E-2	3.550117E-1
1.462500E+2	5.537000E-8	1.013000E-6	5.465943E-2	3.827844E-1
1.485000E+2	6.718000E-8	1.188000E-6	5.654882E-2	3.345348E-1
1.507500E+2	5.995000E-8	8.740000E-7	6.859268E-2	3.549768E-1
