 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	8.267000E-7	1.178000E-6	7.017827E-1
2.250000E+0	8.226000E-7	1.177000E-6	6.988955E-1
4.500000E+0	8.086000E-7	1.152000E-6	7.019097E-1
6.750000E+0	8.209000E-7	1.159000E-6	7.082830E-1
9.000000E+0	8.237000E-7	1.195000E-6	6.892887E-1
1.125000E+1	8.890000E-7	1.280000E-6	6.945312E-1
1.350000E+1	8.453000E-7	1.214000E-6	6.962932E-1
1.575000E+1	8.553000E-7	1.234000E-6	6.931118E-1
1.800000E+1	8.119000E-7	1.185000E-6	6.851477E-1
2.025000E+1	8.473000E-7	1.245000E-6	6.805622E-1
2.250000E+1	7.473000E-7	1.098000E-6	6.806011E-1
2.475000E+1	8.079000E-7	1.196000E-6	6.755017E-1
2.700000E+1	8.245000E-7	1.232000E-6	6.692370E-1
2.925000E+1	8.293000E-7	1.241000E-6	6.682514E-1
3.150000E+1	7.831000E-7	1.189000E-6	6.586207E-1
3.375000E+1	7.812000E-7	1.189000E-6	6.570227E-1
3.600000E+1	8.116000E-7	1.228000E-6	6.609121E-1
3.825000E+1	7.856000E-7	1.221000E-6	6.434070E-1
4.050000E+1	7.644000E-7	1.159000E-6	6.595341E-1
4.275000E+1	7.827000E-7	1.206000E-6	6.490050E-1
4.500000E+1	7.977000E-7	1.244000E-6	6.412379E-1
4.725000E+1	7.678000E-7	1.198000E-6	6.409015E-1
4.950000E+1	7.792000E-7	1.248000E-6	6.243590E-1
5.175000E+1	7.741000E-7	1.245000E-6	6.217671E-1
5.400000E+1	6.800000E-7	1.104000E-6	6.159420E-1
5.625000E+1	7.181000E-7	1.173000E-6	6.121910E-1
5.850000E+1	7.214000E-7	1.190000E-6	6.062185E-1
6.075000E+1	7.275000E-7	1.261000E-6	5.769231E-1
6.300000E+1	6.639000E-7	1.144000E-6	5.803322E-1
6.525000E+1	6.909000E-7	1.194000E-6	5.786432E-1
6.750000E+1	6.956000E-7	1.239000E-6	5.614205E-1
6.975000E+1	6.629000E-7	1.213000E-6	5.464963E-1
7.200000E+1	6.520000E-7	1.204000E-6	5.415282E-1
7.425000E+1	6.504000E-7	1.235000E-6	5.266397E-1
7.650000E+1	6.029000E-7	1.179000E-6	5.113656E-1
7.875000E+1	6.121000E-7	1.208000E-6	5.067053E-1
8.100000E+1	6.000000E-7	1.261000E-6	4.758128E-1
8.325000E+1	5.447000E-7	1.165000E-6	4.675536E-1
8.550000E+1	4.981000E-7	1.071000E-6	4.650794E-1
8.775000E+1	5.119000E-7	1.170000E-6	4.375214E-1
9.000000E+1	4.354000E-7	1.010000E-6	4.310891E-1
9.225000E+1	4.654000E-7	1.165000E-6	3.994850E-1
9.450000E+1	4.365000E-7	1.170000E-6	3.730769E-1
9.675000E+1	4.152000E-7	1.210000E-6	3.431405E-1
9.900000E+1	3.631000E-7	1.107000E-6	3.280036E-1
1.012500E+2	3.192000E-7	1.023000E-6	3.120235E-1
1.035000E+2	3.156000E-7	1.175000E-6	2.685957E-1
1.057500E+2	2.426000E-7	9.180000E-7	2.642702E-1
1.080000E+2	2.325000E-7	1.071000E-6	2.170868E-1
1.102500E+2	1.981000E-7	1.075000E-6	1.842791E-1
1.125000E+2	1.608000E-7	1.054000E-6	1.525617E-1
1.147500E+2	7.050000E-8	3.940000E-7	1.789340E-1
1.170000E+2	9.340000E-8	1.004000E-6	9.302789E-2
1.192500E+2	5.240000E-8	9.460000E-7	5.539112E-2
1.215000E+2	2.850000E-8	5.850000E-7	4.871795E-2
1.237500E+2	4.630000E-8	8.790000E-7	5.267349E-2
1.260000E+2	6.070000E-8	7.600000E-7	7.986842E-2
1.282500E+2	8.360000E-8	7.690000E-7	1.087126E-1
1.305000E+2	1.042000E-7	6.570000E-7	1.585997E-1
1.327500E+2	1.394000E-7	7.320000E-7	1.904372E-1
1.350000E+2	2.022000E-7	9.580000E-7	2.110647E-1
1.372500E+2	1.933000E-7	6.980000E-7	2.769341E-1
1.395000E+2	2.243000E-7	7.420000E-7	3.022911E-1
1.417500E+2	2.662000E-7	8.480000E-7	3.139151E-1
1.440000E+2	2.541000E-7	6.780000E-7	3.747788E-1
1.462500E+2	3.331000E-7	8.950000E-7	3.721788E-1
1.485000E+2	3.567000E-7	9.400000E-7	3.794681E-1
1.507500E+2	2.164000E-7	4.330000E-7	4.997691E-1
1.530000E+2	3.828000E-7	8.530000E-7	4.487691E-1
1.552500E+2	3.441000E-7	7.180000E-7	4.792479E-1
1.575000E+2	4.212000E-7	8.760000E-7	4.808219E-1
1.597500E+2	4.844000E-7	9.940000E-7	4.873239E-1
1.620000E+2	4.718000E-7	9.180000E-7	5.139434E-1
1.642500E+2	4.588000E-7	8.550000E-7	5.366082E-1
1.665000E+2	5.172000E-7	9.760000E-7	5.299180E-1
1.687500E+2	5.932000E-7	1.109000E-6	5.348963E-1
1.710000E+2	6.177000E-7	1.126000E-6	5.485790E-1
1.732500E+2	6.247000E-7	1.119000E-6	5.582663E-1
1.755000E+2	6.115000E-7	1.043000E-6	5.862895E-1
1.777500E+2	4.759000E-7	7.800000E-7	6.101282E-1
1.800000E+2	5.969000E-7	1.003000E-6	5.951147E-1
1.822500E+2	6.732000E-7	1.123000E-6	5.994657E-1
1.845000E+2	6.015000E-7	9.660000E-7	6.226708E-1
1.867500E+2	6.403000E-7	1.018000E-6	6.289784E-1
1.890000E+2	6.381000E-7	1.008000E-6	6.330357E-1
1.912500E+2	6.572000E-7	1.031000E-6	6.374394E-1
1.935000E+2	6.769000E-7	1.033000E-6	6.552759E-1
1.957500E+2	6.128000E-7	9.110000E-7	6.726674E-1
1.980000E+2	6.913000E-7	1.059000E-6	6.527856E-1
2.002500E+2	7.000000E-7	1.059000E-6	6.610009E-1
2.025000E+2	5.979000E-7	8.920000E-7	6.702915E-1
2.047500E+2	4.820000E-7	7.040000E-7	6.846591E-1
2.070000E+2	6.848000E-7	1.015000E-6	6.746798E-1
2.092500E+2	7.274000E-7	1.061000E-6	6.855796E-1
2.115000E+2	7.245000E-7	1.055000E-6	6.867299E-1
2.137500E+2	6.494000E-7	9.500000E-7	6.835789E-1
2.160000E+2	7.331000E-7	1.065000E-6	6.883568E-1
2.182500E+2	6.659000E-7	9.820000E-7	6.781059E-1
2.205000E+2	7.376000E-7	1.051000E-6	7.018078E-1
2.227500E+2	7.521000E-7	1.076000E-6	6.989777E-1
2.250000E+2	6.096000E-7	8.520000E-7	7.154930E-1
2.272500E+2	7.109000E-7	1.014000E-6	7.010848E-1
2.295000E+2	7.661000E-7	1.081000E-6	7.086957E-1
2.317500E+2	8.042000E-7	1.121000E-6	7.173952E-1
2.340000E+2	7.292000E-7	1.004000E-6	7.262948E-1
2.362500E+2	7.130000E-7	1.002000E-6	7.115768E-1
2.385000E+2	6.304000E-7	8.730000E-7	7.221077E-1
2.407500E+2	7.175000E-7	1.025000E-6	7.000000E-1
2.430000E+2	7.552000E-7	1.036000E-6	7.289575E-1
2.452500E+2	6.383000E-7	8.710000E-7	7.328358E-1
2.475000E+2	7.307000E-7	1.005000E-6	7.270647E-1
2.497500E+2	7.688000E-7	1.073000E-6	7.164958E-1
2.520000E+2	5.981000E-7	8.240000E-7	7.258495E-1
2.542500E+2	6.859000E-7	9.520000E-7	7.204832E-1
2.565000E+2	7.609000E-7	1.049000E-6	7.253575E-1
2.587500E+2	5.092000E-7	6.920000E-7	7.358382E-1
2.610000E+2	6.955000E-7	9.300000E-7	7.478495E-1
2.632500E+2	5.894000E-7	8.020000E-7	7.349127E-1
2.655000E+2	4.733000E-7	6.320000E-7	7.488924E-1
2.677500E+2	5.900000E-7	7.780000E-7	7.583548E-1
