  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	1.783000E-7	1.591000E-6	1.120679E-1	2.117842E-1
3.375000E+0	1.595000E-7	1.389000E-6	1.148308E-1	2.173868E-1
6.750000E+0	1.432000E-7	1.266000E-6	1.131122E-1	2.167597E-1
1.012500E+1	1.592000E-7	1.426000E-6	1.116410E-1	2.168536E-1
1.350000E+1	1.715000E-7	1.594000E-6	1.075910E-1	2.039424E-1
1.687500E+1	1.878000E-7	1.771000E-6	1.060418E-1	2.058207E-1
2.025000E+1	1.689000E-7	1.530000E-6	1.103922E-1	2.169125E-1
2.362500E+1	1.707000E-7	1.680000E-6	1.016071E-1	2.025497E-1
2.700000E+1	1.724000E-7	1.648000E-6	1.046117E-1	2.134218E-1
3.037500E+1	1.679000E-7	1.569000E-6	1.070108E-1	2.102578E-1
3.375000E+1	1.485000E-7	1.456000E-6	1.019918E-1	2.088259E-1
3.712500E+1	1.660000E-7	1.659000E-6	1.000603E-1	2.049537E-1
4.050000E+1	1.535000E-7	1.593000E-6	9.635907E-2	2.014294E-1
4.387500E+1	1.458000E-7	1.512000E-6	9.642857E-2	2.077679E-1
4.725000E+1	1.431000E-7	1.515000E-6	9.445545E-2	2.016045E-1
5.062500E+1	1.366000E-7	1.454000E-6	9.394773E-2	2.070845E-1
5.400000E+1	1.317000E-7	1.426000E-6	9.235624E-2	2.098309E-1
5.737500E+1	1.267000E-7	1.418000E-6	8.935120E-2	2.010364E-1
6.075000E+1	1.250000E-7	1.488000E-6	8.400538E-2	1.972697E-1
6.412500E+1	1.220000E-7	1.464000E-6	8.333333E-2	2.030545E-1
6.750000E+1	1.152000E-7	1.416000E-6	8.135593E-2	2.036490E-1
7.087500E+1	1.124000E-7	1.497000E-6	7.508350E-2	1.964565E-1
7.425000E+1	1.090000E-7	1.517000E-6	7.185234E-2	1.954114E-1
7.762500E+1	9.724000E-8	1.445000E-6	6.729412E-2	1.922297E-1
8.100000E+1	9.945000E-8	1.567000E-6	6.346522E-2	1.931043E-1
8.437500E+1	9.449000E-8	1.607000E-6	5.879900E-2	1.911501E-1
8.775000E+1	8.030000E-8	1.425000E-6	5.635088E-2	1.996203E-1
9.112500E+1	7.231000E-8	1.437000E-6	5.032011E-2	1.882163E-1
9.450000E+1	6.702000E-8	1.561000E-6	4.293402E-2	1.759383E-1
9.787500E+1	5.821000E-8	1.663000E-6	3.500301E-2	1.649921E-1
1.012500E+2	4.213000E-8	1.308000E-6	3.220948E-2	1.672462E-1
1.046250E+2	3.506000E-8	1.599000E-6	2.192620E-2	1.372931E-1
1.080000E+2	2.430000E-8	1.597000E-6	1.521603E-2	1.206029E-1
1.113750E+2	1.635000E-8	1.444000E-6	1.132271E-2	1.178650E-1
1.147500E+2	1.346000E-8	1.661000E-6	8.103552E-3	1.215099E-1
1.181250E+2	8.660000E-9	1.553000E-6	5.576304E-3	1.382439E-1
1.215000E+2	5.970000E-9	1.600000E-6	3.731250E-3	1.131917E-1
1.248750E+2	9.930000E-9	1.658000E-6	5.989144E-3	1.249026E-1
1.282500E+2	1.458000E-8	1.638000E-6	8.901099E-3	1.138623E-1
1.316250E+2	2.046000E-8	1.281000E-6	1.597190E-2	1.489187E-1
1.350000E+2	3.215000E-8	1.570000E-6	2.047771E-2	1.581588E-1
1.383750E+2	4.257000E-8	1.518000E-6	2.804348E-2	1.718723E-1
1.417500E+2	5.467000E-8	1.631000E-6	3.351931E-2	1.747905E-1
1.451250E+2	6.174000E-8	1.438000E-6	4.293463E-2	1.921147E-1
1.485000E+2	7.372000E-8	1.570000E-6	4.695541E-2	1.945015E-1
1.518750E+2	7.900000E-8	1.428000E-6	5.532213E-2	2.026749E-1
1.552500E+2	8.522000E-8	1.328000E-6	6.417169E-2	2.182700E-1
1.586250E+2	7.902000E-8	1.015000E-6	7.785222E-2	2.430416E-1
1.620000E+2	1.080200E-7	1.520000E-6	7.106579E-2	2.065066E-1
1.653750E+2	1.049000E-7	1.393000E-6	7.530510E-2	2.155341E-1
1.687500E+2	1.122000E-7	1.415000E-6	7.929329E-2	2.163225E-1
1.721250E+2	1.207000E-7	1.415000E-6	8.530035E-2	2.207557E-1
1.755000E+2	1.286000E-7	1.424000E-6	9.030899E-2	2.192473E-1
1.788750E+2	1.408000E-7	1.495000E-6	9.418060E-2	2.267662E-1
1.822500E+2	1.451000E-7	1.475000E-6	9.837288E-2	2.329754E-1
1.856250E+2	1.438000E-7	1.410000E-6	1.019858E-1	2.149880E-1
1.890000E+2	1.540000E-7	1.483000E-6	1.038436E-1	2.324618E-1
1.923750E+2	1.747000E-7	1.622000E-6	1.077065E-1	2.293656E-1
1.957500E+2	1.692000E-7	1.612000E-6	1.049628E-1	2.255728E-1
1.991250E+2	1.674000E-7	1.512000E-6	1.107143E-1	2.319028E-1
2.025000E+2	1.765000E-7	1.586000E-6	1.112863E-1	2.327587E-1
2.058750E+2	1.842000E-7	1.564000E-6	1.177749E-1	2.425514E-1
2.092500E+2	1.941000E-7	1.692000E-6	1.147163E-1	2.319374E-1
2.126250E+2	1.979000E-7	1.657000E-6	1.194327E-1	2.380863E-1
2.160000E+2	1.941000E-7	1.647000E-6	1.178506E-1	2.307587E-1
2.193750E+2	2.091000E-7	1.665000E-6	1.255856E-1	2.441942E-1
2.227500E+2	1.683000E-7	1.303000E-6	1.291635E-1	2.557615E-1
2.261250E+2	1.878000E-7	1.451000E-6	1.294280E-1	2.436333E-1
2.295000E+2	1.939000E-7	1.478000E-6	1.311908E-1	2.487443E-1
2.328750E+2	1.810000E-7	1.344000E-6	1.346726E-1	2.526702E-1
2.362500E+2	1.921000E-7	1.458000E-6	1.317558E-1	2.420079E-1
2.396250E+2	1.934000E-7	1.410000E-6	1.371631E-1	2.595798E-1
2.430000E+2	2.112000E-7	1.491000E-6	1.416499E-1	2.647694E-1
2.463750E+2	1.924000E-7	1.379000E-6	1.395214E-1	2.593531E-1
2.497500E+2	1.949000E-7	1.398000E-6	1.394134E-1	2.552109E-1
2.531250E+2	1.960000E-7	1.380000E-6	1.420290E-1	2.589980E-1
2.565000E+2	2.039000E-7	1.431000E-6	1.424878E-1	2.626764E-1
2.598750E+2	2.007000E-7	1.418000E-6	1.415374E-1	2.592309E-1
2.632500E+2	2.145000E-7	1.474000E-6	1.455224E-1	2.616598E-1
2.666250E+2	2.048000E-7	1.340000E-6	1.528358E-1	2.734114E-1
