 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	8.430000E-7	1.200000E-6	7.025000E-1
2.250000E+0	9.704000E-7	1.413000E-6	6.867657E-1
4.500000E+0	6.867000E-7	1.003000E-6	6.846461E-1
6.750000E+0	8.293000E-7	1.240000E-6	6.687903E-1
9.000000E+0	9.166000E-7	1.380000E-6	6.642029E-1
1.125000E+1	9.880000E-7	1.499000E-6	6.591061E-1
1.350000E+1	7.867000E-7	1.163000E-6	6.764402E-1
1.575000E+1	9.306000E-7	1.456000E-6	6.391484E-1
1.800000E+1	9.771000E-7	1.492000E-6	6.548928E-1
2.025000E+1	8.680000E-7	1.325000E-6	6.550943E-1
2.250000E+1	9.047000E-7	1.415000E-6	6.393640E-1
2.475000E+1	8.222000E-7	1.257000E-6	6.540971E-1
2.700000E+1	9.094000E-7	1.440000E-6	6.315278E-1
2.925000E+1	9.150000E-7	1.503000E-6	6.087824E-1
3.150000E+1	7.366000E-7	1.153000E-6	6.388552E-1
3.375000E+1	7.056000E-7	1.102000E-6	6.402904E-1
3.600000E+1	7.650000E-7	1.238000E-6	6.179321E-1
3.825000E+1	9.122000E-7	1.546000E-6	5.900388E-1
4.050000E+1	7.309000E-7	1.209000E-6	6.045492E-1
4.275000E+1	8.356000E-7	1.430000E-6	5.843357E-1
4.500000E+1	8.871000E-7	1.573000E-6	5.639542E-1
4.725000E+1	7.029000E-7	1.181000E-6	5.951736E-1
4.950000E+1	7.156000E-7	1.241000E-6	5.766317E-1
5.175000E+1	4.829000E-7	8.100000E-7	5.961728E-1
5.400000E+1	6.742000E-7	1.196000E-6	5.637124E-1
5.625000E+1	8.539000E-7	1.690000E-6	5.052663E-1
5.850000E+1	6.740000E-7	1.257000E-6	5.361973E-1
6.075000E+1	7.904000E-7	1.567000E-6	5.044033E-1
6.300000E+1	6.790000E-7	1.329000E-6	5.109105E-1
6.525000E+1	4.696000E-7	8.760000E-7	5.360731E-1
6.750000E+1	5.859000E-7	1.152000E-6	5.085937E-1
