  Z(mm) 	  Channel-A 	  Channel-B	  A/B	 Close/open	
0.000000E+0	4.450000E-8	1.027100E-6	4.332587E-2	3.189265E-1
3.000000E+0	5.000000E-8	1.064700E-6	4.696159E-2	3.425065E-1
6.000000E+0	5.290000E-8	1.081000E-6	4.893617E-2	2.358422E-1
9.000000E+0	4.960000E-8	1.058200E-6	4.687205E-2	2.149113E-1
1.200000E+1	4.970000E-8	1.053500E-6	4.717608E-2	2.143573E-1
1.500000E+1	5.600000E-8	1.086400E-6	5.154639E-2	2.336887E-1
1.800000E+1	5.950000E-8	1.111300E-6	5.354090E-2	2.344087E-1
2.100000E+1	5.990000E-8	9.997000E-7	5.991798E-2	2.692331E-1
2.400000E+1	5.360000E-8	1.068900E-6	5.014501E-2	2.303848E-1
2.700000E+1	4.110000E-8	1.002000E-6	4.101796E-2	1.842376E-1
3.000000E+1	4.340000E-8	1.018500E-6	4.261168E-2	1.996134E-1
3.300000E+1	5.600000E-8	1.077300E-6	5.198181E-2	2.342600E-1
3.600000E+1	5.710000E-8	1.080300E-6	5.285569E-2	2.440515E-1
3.900000E+1	5.140000E-8	1.055600E-6	4.869269E-2	2.214227E-1
4.200000E+1	6.270000E-8	1.117300E-6	5.611743E-2	2.438320E-1
4.500000E+1	6.010000E-8	1.091900E-6	5.504167E-2	2.460241E-1
4.800000E+1	5.110000E-8	1.050600E-6	4.863887E-2	2.268320E-1
5.100000E+1	5.510000E-8	1.068300E-6	5.157727E-2	2.335832E-1
5.400000E+1	6.020000E-8	1.088300E-6	5.531563E-2	2.446327E-1
5.700000E+1	5.760000E-8	1.078200E-6	5.342237E-2	2.373528E-1
6.000000E+1	5.480000E-8	1.061800E-6	5.161047E-2	2.303352E-1
6.300000E+1	5.700000E-8	1.074700E-6	5.303806E-2	2.369198E-1
6.600000E+1	5.690000E-8	1.074600E-6	5.294993E-2	2.360749E-1
6.900000E+1	4.620000E-8	1.026100E-6	4.502485E-2	2.009510E-1
7.200000E+1	4.740000E-8	1.019400E-6	4.649794E-2	2.054332E-1
7.500000E+1	5.380000E-8	1.057000E-6	5.089877E-2	2.241354E-1
7.800000E+1	4.210000E-8	9.963000E-7	4.225635E-2	1.863473E-1
8.100000E+1	4.990000E-8	1.029200E-6	4.848426E-2	2.131296E-1
8.400000E+1	5.730000E-8	1.067000E-6	5.370197E-2	2.371005E-1
8.700000E+1	5.140000E-8	1.042400E-6	4.930929E-2	2.190098E-1
9.000000E+1	5.790000E-8	1.080100E-6	5.360615E-2	2.382622E-1
9.300000E+1	6.030000E-8	1.087000E-6	5.547378E-2	2.415528E-1
9.600000E+1	5.330000E-8	1.052200E-6	5.065577E-2	2.188313E-1
9.900000E+1	4.380000E-8	1.007700E-6	4.346532E-2	1.916523E-1
1.020000E+2	5.430000E-8	1.060000E-6	5.122642E-2	2.280894E-1
1.050000E+2	4.800000E-8	1.026600E-6	4.675628E-2	2.082692E-1
1.080000E+2	5.030000E-8	1.048100E-6	4.799160E-2	2.124044E-1
1.110000E+2	3.750000E-8	9.819000E-7	3.819126E-2	1.723790E-1
1.140000E+2	4.740000E-8	1.057700E-6	4.481422E-2	2.064676E-1
1.170000E+2	4.080000E-8	1.013900E-6	4.024065E-2	1.886201E-1
1.200000E+2	4.330000E-8	1.073500E-6	4.033535E-2	1.922511E-1
1.230000E+2	3.700000E-8	1.097000E-6	3.372835E-2	1.645956E-1
1.260000E+2	3.150000E-8	9.935000E-7	3.170609E-2	1.654572E-1
1.290000E+2	2.700000E-8	1.033900E-6	2.611471E-2	1.494881E-1
1.320000E+2	2.290000E-8	1.049400E-6	2.182199E-2	1.498121E-1
1.350000E+2	2.380000E-8	1.036300E-6	2.296632E-2	1.765536E-1
1.380000E+2	3.340000E-8	1.017400E-6	3.282878E-2	2.100842E-1
1.410000E+2	4.970000E-8	1.048900E-6	4.738297E-2	2.572147E-1
1.440000E+2	5.400000E-8	1.056300E-6	5.112184E-2	2.568118E-1
