 Z(mm) 	  Channel-A 	  Channel-B	  A/B	
0.000000E+0	2.291000E-7	1.019100E-6	2.248062E-1
2.250000E+0	2.321000E-7	1.029200E-6	2.255150E-1
4.500000E+0	2.295000E-7	1.021100E-6	2.247576E-1
6.750000E+0	2.311000E-7	1.022100E-6	2.261031E-1
9.000000E+0	2.381000E-7	1.042800E-6	2.283276E-1
1.125000E+1	2.338000E-7	1.031000E-6	2.267701E-1
1.350000E+1	2.322000E-7	1.023600E-6	2.268464E-1
1.575000E+1	2.330000E-7	1.025000E-6	2.273171E-1
1.800000E+1	2.350000E-7	1.035000E-6	2.270531E-1
2.025000E+1	2.306000E-7	1.020300E-6	2.260120E-1
2.250000E+1	2.301000E-7	1.014600E-6	2.267889E-1
2.475000E+1	2.412000E-7	1.040500E-6	2.318116E-1
2.700000E+1	2.369000E-7	1.034400E-6	2.290217E-1
2.925000E+1	2.369000E-7	1.032600E-6	2.294209E-1
3.150000E+1	2.454000E-7	1.051400E-6	2.334031E-1
3.375000E+1	2.395000E-7	1.037100E-6	2.309324E-1
3.600000E+1	2.342000E-7	1.023200E-6	2.288898E-1
3.825000E+1	2.315000E-7	1.009600E-6	2.292987E-1
4.050000E+1	2.422000E-7	1.044500E-6	2.318813E-1
4.275000E+1	2.267000E-7	1.006800E-6	2.251689E-1
4.500000E+1	2.323000E-7	1.017500E-6	2.283047E-1
4.725000E+1	2.390000E-7	1.038900E-6	2.300510E-1
4.950000E+1	2.442000E-7	1.057600E-6	2.309002E-1
5.175000E+1	2.106000E-7	9.647000E-7	2.183062E-1
5.400000E+1	2.202000E-7	9.954000E-7	2.212176E-1
5.625000E+1	2.287000E-7	1.026500E-6	2.227959E-1
5.850000E+1	2.299000E-7	1.030000E-6	2.232039E-1
6.075000E+1	2.275000E-7	1.036300E-6	2.195310E-1
6.300000E+1	2.184000E-7	1.015600E-6	2.150453E-1
6.525000E+1	2.144000E-7	1.027300E-6	2.087024E-1
6.750000E+1	2.042000E-7	1.033200E-6	1.976384E-1
6.975000E+1	1.885000E-7	1.012500E-6	1.861728E-1
7.200000E+1	1.718000E-7	1.005100E-6	1.709283E-1
7.425000E+1	1.534000E-7	1.037300E-6	1.478839E-1
7.650000E+1	1.633000E-7	1.031100E-6	1.583746E-1
7.875000E+1	1.833000E-7	1.020000E-6	1.797059E-1
8.100000E+1	1.977000E-7	1.018900E-6	1.940328E-1
8.325000E+1	2.132000E-7	1.033400E-6	2.063093E-1
8.550000E+1	2.176000E-7	1.026500E-6	2.119825E-1
8.775000E+1	2.222000E-7	1.027300E-6	2.162951E-1
9.000000E+1	2.058000E-7	9.732000E-7	2.114673E-1
9.225000E+1	2.232000E-7	1.014200E-6	2.200749E-1
9.450000E+1	2.304000E-7	1.024800E-6	2.248244E-1
9.675000E+1	2.350000E-7	1.036000E-6	2.268340E-1
9.900000E+1	2.341000E-7	1.036900E-6	2.257691E-1
1.012500E+2	2.259000E-7	1.021300E-6	2.211887E-1
1.035000E+2	2.138000E-7	1.009300E-6	2.118300E-1
1.057500E+2	2.049000E-7	1.011300E-6	2.026105E-1
1.080000E+2	1.898000E-7	1.014000E-6	1.871795E-1
1.102500E+2	1.798000E-7	1.028700E-6	1.747837E-1
1.125000E+2	2.006000E-7	1.022000E-6	1.962818E-1
1.147500E+2	2.132000E-7	1.003700E-6	2.124141E-1
1.170000E+2	2.333000E-7	1.021800E-6	2.283226E-1
1.192500E+2	2.371000E-7	1.021700E-6	2.320642E-1
1.215000E+2	2.491000E-7	1.039300E-6	2.396806E-1
1.237500E+2	2.474000E-7	1.027000E-6	2.408958E-1
1.260000E+2	2.437000E-7	1.011100E-6	2.410246E-1
1.282500E+2	2.480000E-7	1.017600E-6	2.437107E-1
1.305000E+2	2.450000E-7	1.009000E-6	2.428147E-1
1.327500E+2	2.479000E-7	1.008000E-6	2.459325E-1
1.350000E+2	2.499000E-7	1.006600E-6	2.482615E-1
1.372500E+2	2.543000E-7	1.017600E-6	2.499017E-1
1.395000E+2	2.520000E-7	1.011000E-6	2.492582E-1
1.417500E+2	2.577000E-7	1.019100E-6	2.528702E-1
1.440000E+2	2.495000E-7	9.995000E-7	2.496248E-1
1.462500E+2	2.565000E-7	1.016200E-6	2.524109E-1
1.485000E+2	2.555000E-7	1.013800E-6	2.520221E-1
1.507500E+2	2.624000E-7	1.027500E-6	2.553771E-1
1.530000E+2	2.601000E-7	1.017800E-6	2.555512E-1
1.552500E+2	2.661000E-7	1.029700E-6	2.584248E-1
1.575000E+2	2.611000E-7	1.012400E-6	2.579020E-1
1.597500E+2	2.679000E-7	1.031200E-6	2.597944E-1
1.620000E+2	2.677000E-7	1.026400E-6	2.608145E-1
1.642500E+2	2.638000E-7	1.014300E-6	2.600808E-1
1.665000E+2	2.681000E-7	1.029000E-6	2.605442E-1
1.687500E+2	2.622000E-7	1.004800E-6	2.609475E-1
1.710000E+2	2.580000E-7	9.971000E-7	2.587504E-1
1.732500E+2	2.742000E-7	1.035500E-6	2.647996E-1
1.755000E+2	2.750000E-7	1.042300E-6	2.638396E-1
1.777500E+2	2.547000E-7	9.909000E-7	2.570391E-1
